KIDSDRIV,BIRTH,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,EDUCATION,OCCUPATION,TRAVTIME,CAR_USE,BLUEBOOK,TIF,CAR_TYPE,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,URBANICITY,REPEAT
0,22OCT49,50.0,0,7.0,106952.0,No,0.0,No,M,Bachelors,Professional,48,Commercial,18510,7,Van,no,0,0,No,1,0,17.0,0,Rural,0
0,25DEC45,53.0,0,14.0,77100.0,No,0.0,No,F,Masters,Lawyer,15,Private,18300,1,Sports Car,no,0,0,No,0,6077,11.0,1,Urban,0
0,19JUN56,43.0,0,5.0,52642.0,No,209970.0,Yes,F,Masters,Professional,36,Private,22420,7,Minivan,no,0,0,No,0,0,1.0,0,Rural,0
0,03MAR44,55.0,0,11.0,59162.0,No,180232.0,Yes,M,Bachelors,Manager,25,Commercial,17600,7,Van,yes,5028,2,Yes,3,0,9.0,0,Urban,1
0,19JUL46,53.0,0,11.0,130795.0,No,0.0,No,M,PhD,,64,Commercial,28340,6,Panel Truck,yes,0,0,No,3,1267,10.0,1,Urban,0
0,17AUG64,35.0,2,10.474061923313512,21204.0,Yes,0.0,No,M,High School,Clerical,74,Private,9230,6,Pickup,no,0,0,Yes,0,0,4.0,0,Rural,0
0,17JAN54,45.0,0,0.0,0.0,No,106859.0,Yes,F,<High School,Home Maker,48,Private,6000,1,SUV,no,0,0,No,3,2920,5.0,1,Urban,0
0,06AUG60,39.0,3,12.0,51884.0,Yes,180951.0,No,F,Bachelors,Clerical,43,Private,10590,6,SUV,no,0,0,No,0,0,13.0,0,Rural,0
0,19APR40,59.0,0,12.0,87460.0,No,0.0,No,M,High School,Manager,45,Private,15420,1,Minivan,yes,44857,2,No,4,4111,1.0,1,Urban,1
0,20DEC56,42.0,0,11.0,59945.0,No,192207.0,Yes,M,Masters,Lawyer,42,Private,14190,6,Minivan,no,0,0,No,0,0,16.0,0,Urban,0
0,14SEP65,34.0,3,13.0,34019.0,No,91875.0,Yes,F,Masters,Lawyer,27,Private,8300,7,SUV,no,0,0,No,0,0,20.0,0,Urban,0
0,06OCT68,31.0,2,12.0,18903.0,No,93797.0,Yes,F,<High School,Clerical,48,Private,17330,4,Minivan,no,0,0,No,0,0,7.0,0,Urban,0
0,22FEB71,28.0,1,13.0,44077.0,No,170598.0,Yes,F,High School,Blue Collar,29,Commercial,8710,6,SUV,no,8935,2,No,0,6857,1.0,1,Urban,1
0,07FEB56,43.0,0,13.0,37214.0,No,154523.01860799835,Yes,M,<High School,Blue Collar,52,Commercial,26560,1,Panel Truck,yes,0,0,No,3,3627,1.0,1,Urban,0
0,16DEC50,48.0,0,14.0,96274.0,No,282904.0,Yes,F,Masters,Lawyer,36,Private,11130,6,SUV,no,8250,1,No,5,0,14.0,0,Urban,1
0,24JUL52,47.0,0,11.0,46281.0,No,0.0,No,F,<High School,Blue Collar,29,Private,19700,10,Minivan,no,0,0,No,1,0,5.0,0,Urban,0
2,06JUL55,44.0,2,0.0,0.0,No,82344.0,Yes,F,High School,Home Maker,8,Private,5900,6,SUV,no,3338,3,No,0,0,11.0,0,Urban,1
0,14APR53,46.0,0,14.0,61572.07326346075,No,207519.0,Yes,M,Bachelors,Professional,7,Commercial,25660,1,Panel Truck,no,2119,1,No,2,0,12.0,0,Urban,1
0,14DEC38,60.0,0,12.0,37940.0,No,182739.0,Yes,F,High School,Blue Collar,16,Commercial,11290,1,Sports Car,no,0,0,No,0,5247,1.0,1,Urban,0
0,14DEC65,33.0,1,13.0,79606.0,No,225962.0,Yes,F,Bachelors,Professional,27,Private,16830,9,SUV,no,0,0,No,2,0,15.0,0,Rural,0
0,17APR67,32.0,1,9.0,31275.0,No,118160.0,Yes,F,High School,Clerical,26,Private,10030,1,SUV,no,0,0,No,0,4486,1.0,1,Urban,0
1,09APR55,44.0,2,17.0,45488.0,No,219378.0,Yes,M,Bachelors,Manager,16,Private,22090,17,Minivan,no,0,0,No,0,0,12.0,0,Urban,0
0,05APR64,35.0,0,8.0,72193.0,No,0.0,No,F,Bachelors,Clerical,26,Private,12220,6,SUV,no,0,0,No,3,0,12.0,0,Urban,0
0,06MAY59,40.0,2,0.0,61572.07326346075,No,98777.0,Yes,F,Masters,Home Maker,15,Private,14130,6,SUV,no,38127,2,Yes,4,0,12.0,0,Rural,1
0,15MAY45,54.0,0,12.0,33212.0,No,158432.0,Yes,M,<High School,Blue Collar,27,Commercial,24000,4,Panel Truck,no,0,0,No,5,4901,8.298147573217427,1,Urban,0
0,14FEB50,49.0,0,5.0,49244.0,No,163444.0,Yes,M,Bachelors,Clerical,30,Private,15880,1,Minivan,no,0,0,No,1,0,1.0,0,Urban,0
2,03AUG63,36.0,2,12.0,130540.0,Yes,344195.0,No,F,Bachelors,Blue Collar,5,Commercial,27200,4,Minivan,no,0,0,No,0,0,9.0,0,Rural,0
0,07MAY47,52.0,0,8.0,51278.0,No,230340.0,Yes,F,Bachelors,Professional,37,Private,1500,4,SUV,no,0,0,No,1,0,10.0,0,Urban,0
0,28SEP58,41.0,0,7.0,92842.0,No,286113.0,No,M,Masters,,12,Commercial,25810,6,Panel Truck,no,1431,2,No,5,0,15.0,0,Urban,1
0,26JUL60,39.0,0,10.0,35081.0,No,202839.0,Yes,M,Bachelors,Blue Collar,38,Commercial,16640,4,Van,yes,0,0,No,0,0,13.0,0,Urban,0
0,09APR43,56.0,0,0.0,0.0,No,63827.0,Yes,F,PhD,Home Maker,65,Private,13220,1,Minivan,no,0,0,No,0,0,12.0,0,Rural,0
0,07MAR50,49.0,0,12.0,115044.0,No,311980.0,No,F,PhD,Doctor,18,Private,17900,1,Minivan,no,0,0,No,0,0,14.0,0,Urban,0
0,30MAY61,38.0,0,11.0,37754.0,No,138823.0,Yes,F,High School,Clerical,47,Private,12080,1,SUV,no,0,0,No,2,0,9.0,0,Rural,0
0,01JUN56,43.0,2,17.0,145353.0,No,418785.0,Yes,F,Masters,,38,Commercial,29450,6,Van,no,0,0,No,0,0,15.0,0,Urban,0
0,30JUN49,50.0,0,8.0,167469.0,No,0.0,No,F,PhD,Doctor,22,Private,34150,4,Sports Car,no,0,0,No,3,0,1.0,0,Urban,0
0,04NOV36,63.0,0,15.0,121398.0,No,343410.0,Yes,F,PhD,Doctor,10,Private,16270,1,SUV,no,0,0,No,0,0,11.0,0,Urban,0
0,12AUG47,52.0,0,0.0,0.0,No,87925.0,No,F,High School,Student,48,Commercial,9280,1,SUV,no,0,0,No,1,0,6.0,0,Rural,0
0,24OCT64,35.0,0,7.0,14508.0,No,0.0,Yes,M,Bachelors,Student,22,Commercial,6450,1,Pickup,no,0,0,No,0,0,7.0,0,Urban,0
0,16NOV56,43.0,0,13.0,75338.0,No,270555.0,Yes,F,Bachelors,Manager,40,Private,23080,1,Sports Car,no,0,0,No,0,0,8.0,0,Urban,0
0,06OCT58,41.0,0,10.0,32774.0,No,0.0,No,F,High School,Clerical,44,Private,20120,4,Minivan,no,0,0,No,0,0,1.0,0,Rural,0
0,08APR59,40.0,0,11.0,57474.0,No,186418.0,Yes,M,Bachelors,Clerical,5,Commercial,29270,4,Panel Truck,yes,0,0,No,1,0,5.0,0,Urban,0
0,07AUG68,31.0,1,12.0,26520.0,No,154493.0,Yes,M,Bachelors,Student,62,Commercial,4600,6,Minivan,yes,0,0,No,2,0,5.0,0,Urban,0
0,27OCT52,47.0,0,8.0,18444.0,No,0.0,Yes,F,High School,Student,35,Commercial,19450,6,SUV,no,2981,2,No,5,0,8.298147573217427,0,Urban,1
0,06JAN46,53.0,0,10.474061923313512,107259.0,No,343700.0,Yes,M,Masters,Professional,36,Private,29230,10,Minivan,yes,0,0,No,0,0,15.0,0,Urban,0
0,05JUN60,39.0,3,7.0,34046.0,No,183383.0,Yes,F,High School,Clerical,33,Private,4040,6,SUV,no,0,0,No,0,0,5.0,0,Rural,0
0,20MAY66,33.0,3,14.0,32364.0,No,152894.0,Yes,M,<High School,Clerical,40,Private,12270,18,Minivan,yes,0,0,No,3,0,1.0,0,Urban,0
0,02JAN40,59.0,0,5.0,106775.0,No,154523.01860799835,No,M,Masters,Lawyer,10,Private,31930,1,Minivan,yes,0,0,No,0,0,8.298147573217427,0,Urban,0
0,29JAN57,42.0,0,10.474061923313512,52988.0,No,176275.0,Yes,M,High School,Blue Collar,24,Commercial,23450,1,Minivan,no,0,0,No,2,0,11.0,0,Rural,0
0,26APR59,40.0,0,11.0,16989.0,No,0.0,No,M,<High School,Blue Collar,20,Commercial,12230,4,Pickup,yes,26104,1,Yes,13,6100,6.0,1,Urban,1
0,15JUL58,41.0,2,7.0,17755.0,Yes,148815.0,No,F,<High School,Clerical,29,Private,14480,1,Minivan,yes,0,0,Yes,2,0,1.0,0,Urban,0
1,20JAN62,37.0,2,13.0,61572.07326346075,Yes,0.0,No,F,High School,Blue Collar,62,Commercial,9360,4,Sports Car,no,0,0,No,0,6195,8.298147573217427,1,Urban,0
0,29JUN63,36.0,3,12.0,56048.0,No,137836.0,Yes,M,Masters,Lawyer,15,Private,10700,6,Minivan,no,2045,2,No,2,0,16.0,0,Urban,1
0,02DEC54,44.0,2,15.0,16352.0,No,134164.0,Yes,F,High School,Home Maker,37,Private,10520,1,SUV,no,7838,1,No,1,8841,1.0,1,Urban,1
0,07FEB43,56.0,0,16.0,44760.0,No,164852.0,Yes,M,Bachelors,Manager,30,Private,21770,13,Minivan,yes,0,0,No,0,0,6.0,0,Urban,0
1,30DEC53,45.0,1,14.0,63952.0,No,196368.0,Yes,F,Masters,Lawyer,50,Private,32340,6,Van,no,27877,2,Yes,0,2117,13.0,1,Urban,1
0,16APR65,34.0,3,12.0,22510.0,No,123888.0,Yes,M,High School,Clerical,26,Private,14690,4,Minivan,yes,0,0,Yes,0,1230,1.0,1,Rural,0
0,23SEP51,48.0,0,10.474061923313512,61572.07326346075,No,252896.0,Yes,M,Bachelors,Professional,14,Commercial,28560,13,Panel Truck,yes,1554,5,No,1,0,10.0,0,Urban,1
1,12OCT55,44.0,2,10.474061923313512,24060.0,Yes,0.0,No,M,Bachelors,Clerical,24,Private,14220,4,Minivan,no,0,0,No,0,3532,10.0,1,Urban,0
0,25JUL66,33.0,4,12.0,20822.0,No,76022.0,Yes,F,High School,Home Maker,46,Private,6880,13,SUV,no,7896,3,No,0,866,1.0,1,Urban,1
0,06DEC66,32.0,3,14.0,54968.0,No,146784.0,Yes,F,High School,Professional,20,Private,10040,4,SUV,no,0,0,Yes,0,0,8.0,0,Urban,0
0,20OCT65,34.0,0,8.0,14194.0,No,87034.0,No,F,<High School,Clerical,13,Private,2920,4,Sports Car,no,24767,3,Yes,2,7786,10.0,1,Urban,1
1,06NOV61,38.0,4,12.0,2149.0,No,72889.0,Yes,F,<High School,Home Maker,35,Private,22690,10,Pickup,no,0,0,No,2,0,1.0,0,Urban,0
0,18FEB64,35.0,2,12.0,61572.07326346075,Yes,0.0,No,F,<High School,Blue Collar,43,Private,9730,5,SUV,no,0,0,No,4,5426,4.0,1,Urban,0
2,02JAN55,44.0,2,14.0,45576.0,No,156623.0,Yes,F,<High School,Blue Collar,27,Private,1500,4,Sports Car,no,25276,1,No,8,0,8.298147573217427,0,Urban,1
2,10MAY56,43.0,3,11.0,137103.0,Yes,0.0,No,F,Masters,Manager,29,Private,19510,1,Sports Car,no,8890,3,No,0,4148,15.0,1,Urban,1
0,05SEP50,49.0,0,9.0,61572.07326346075,No,0.0,No,M,PhD,,31,Commercial,33710,3,Panel Truck,no,34351,2,Yes,2,0,18.0,0,Urban,1
0,25OCT53,46.0,0,10.0,79538.0,No,0.0,No,F,Bachelors,Manager,13,Private,14050,3,Minivan,no,0,0,Yes,2,0,11.0,0,Urban,0
0,03DEC53,45.0,1,11.0,185836.0,No,509115.0,Yes,F,PhD,Lawyer,28,Private,10250,1,SUV,no,4307,3,No,6,0,20.0,0,Urban,1
0,01JAN53,46.0,0,14.0,61572.07326346075,No,397661.0,No,M,Masters,,22,Commercial,33320,4,Panel Truck,yes,0,0,Yes,1,0,12.0,0,Urban,0
0,08NOV54,45.0,0,11.0,61931.0,No,213530.0,Yes,M,Masters,,30,Commercial,10910,13,Pickup,yes,25106,2,No,0,0,8.298147573217427,0,Urban,1
0,23JUL51,48.0,0,9.0,61509.0,No,195438.0,Yes,M,Masters,,40,Commercial,23230,6,Panel Truck,yes,0,0,No,1,0,17.0,0,Urban,0
0,16SEP36,63.0,0,9.0,74426.0,No,0.0,No,F,PhD,Doctor,11,Private,27600,1,SUV,no,0,0,No,0,0,18.0,0,Urban,0
0,18FEB55,44.0,0,9.0,74722.0,No,231034.0,Yes,F,Bachelors,Professional,9,Private,23640,6,Minivan,no,0,0,No,0,0,1.0,0,Urban,0
1,07MAR54,45.0,2,11.0,102393.0,Yes,0.0,No,M,Bachelors,Professional,25,Private,1500,1,Minivan,yes,0,0,No,2,2371,11.0,1,Urban,0
0,17SEP37,62.0,0,15.0,40656.0,No,208242.0,Yes,F,High School,Clerical,57,Private,9170,4,Sports Car,no,42342,2,Yes,2,4178,7.0,1,Urban,1
0,24NOV50,48.0,0,0.0,0.0,No,98920.0,Yes,F,High School,Home Maker,50,Private,8660,3,Sports Car,no,8363,2,No,3,0,8.298147573217427,0,Urban,1
1,10FEB62,37.0,2,12.0,61572.07326346075,No,205211.0,Yes,F,Bachelors,Blue Collar,43,Commercial,5200,1,SUV,no,2718,1,No,1,4804,3.0,1,Urban,1
0,27AUG64,35.0,0,10.474061923313512,29371.0,No,0.0,No,F,<High School,Clerical,49,Private,4860,10,Sports Car,no,0,0,No,0,0,1.0,0,Urban,0
0,13AUG51,48.0,0,12.0,31773.0,No,165090.0,Yes,M,High School,Clerical,14,Commercial,9640,13,Pickup,no,1212,1,No,4,1354,1.0,1,Urban,1
0,26DEC59,39.0,0,11.0,33727.0,No,0.0,No,F,Bachelors,Clerical,27,Private,10850,1,SUV,no,8350,1,No,2,0,12.0,0,Urban,1
0,30MAY50,49.0,0,0.0,0.0,No,159389.0,Yes,F,Masters,Professional,42,Private,6400,10,SUV,no,9115,1,No,6,0,14.0,0,Urban,1
0,24JUL55,44.0,2,15.0,139330.0,Yes,316900.0,No,F,High School,Blue Collar,35,Commercial,22050,10,Sports Car,no,0,0,No,0,0,1.0,0,Rural,0
0,22DEC48,50.0,0,13.0,163296.0,No,447616.0,No,F,PhD,Lawyer,42,Private,22830,1,Minivan,no,0,0,No,0,0,14.0,0,Rural,0
0,03OCT69,30.0,1,10.0,17455.0,Yes,140978.0,No,F,<High School,Blue Collar,50,Private,12380,13,Minivan,no,0,0,No,0,0,6.0,0,Rural,0
0,03NOV45,54.0,0,10.474061923313512,71007.0,No,240833.0,Yes,M,Bachelors,Manager,61,Private,14000,6,Minivan,no,0,0,No,0,0,11.0,0,Urban,0
0,06SEP61,38.0,0,0.0,0.0,No,0.0,Yes,M,High School,Student,41,Commercial,17470,10,Van,no,3157,2,No,5,0,6.0,0,Rural,1
0,09APR46,53.0,0,6.0,38036.0,No,153381.0,Yes,F,High School,Blue Collar,32,Commercial,13140,1,SUV,no,0,0,No,4,2425,1.0,1,Urban,0
0,30MAR46,53.0,0,13.0,41199.0,No,150933.0,No,F,Bachelors,Manager,21,Private,15360,1,SUV,no,0,0,No,0,0,8.0,0,Urban,0
0,28NOV69,29.0,1,10.0,38042.0,Yes,202967.0,No,M,High School,Professional,15,Private,15160,6,Minivan,no,0,0,No,0,0,1.0,0,Urban,0
0,20JAN41,58.0,0,11.0,91223.0,No,0.0,No,M,Masters,Lawyer,23,Private,10620,6,Pickup,no,0,0,No,0,0,8.298147573217427,0,Urban,0
0,25JUL44,55.0,0,7.0,45787.0,No,173196.0,Yes,F,Masters,Lawyer,5,Private,19380,6,Minivan,no,0,0,No,0,0,13.0,0,Urban,0
0,17SEP44,55.0,0,10.474061923313512,84964.0,No,227091.0,Yes,M,Bachelors,Blue Collar,21,Commercial,5760,1,Pickup,yes,969,2,No,6,0,11.0,0,Urban,1
0,04NOV43,56.0,0,8.0,38240.0,No,190675.0,Yes,F,High School,Clerical,28,Private,16220,4,SUV,no,0,0,No,0,0,8.298147573217427,0,Rural,0
0,20DEC59,39.0,2,0.0,0.0,No,69369.0,Yes,F,High School,Home Maker,36,Private,8750,4,Sports Car,no,0,0,No,0,0,8.0,0,Urban,0
2,26JUN55,44.0,2,13.0,142588.0,No,365256.0,Yes,M,Masters,Manager,28,Private,21790,6,Minivan,yes,0,0,No,2,0,9.0,0,Urban,0
0,13MAY65,34.0,0,11.0,51565.0,No,0.0,No,M,Masters,Lawyer,36,Private,18110,1,Van,yes,759,2,No,3,0,15.0,0,Urban,1
0,08AUG65,34.0,3,0.0,0.0,No,66358.0,Yes,F,High School,Home Maker,25,Private,11740,9,SUV,no,1800,2,No,2,5711,1.0,1,Urban,1
0,06JAN63,36.0,0,11.0,105384.0,No,267509.0,Yes,M,Masters,Professional,24,Private,13800,7,Minivan,yes,31695,3,Yes,4,0,17.0,0,Urban,1
0,13OCT58,41.0,0,10.0,66265.0,No,159276.0,Yes,M,Masters,Lawyer,59,Private,12230,4,Minivan,yes,0,0,No,1,13105,9.0,1,Urban,0
0,30APR53,46.0,0,7.0,61572.07326346075,No,154523.01860799835,No,M,Masters,,17,Commercial,23350,13,Panel Truck,yes,4678,3,No,6,4061,17.0,1,Urban,1
0,08MAR54,45.0,0,12.0,32394.0,No,0.0,No,F,High School,Clerical,33,Private,13770,4,SUV,no,0,0,No,0,0,1.0,0,Urban,0
0,31JUL57,42.0,0,9.0,76226.0,No,217920.0,Yes,M,Bachelors,Blue Collar,18,Commercial,23390,13,Panel Truck,yes,0,0,No,0,0,14.0,0,Urban,0
1,25MAY61,38.0,3,16.0,7528.0,No,113809.0,Yes,M,<High School,Clerical,26,Private,8080,1,Pickup,yes,0,0,No,0,0,8.0,0,Rural,0
0,16FEB66,33.0,4,0.0,0.0,Yes,0.0,No,M,High School,Student,14,Commercial,15090,1,Minivan,yes,1631,1,No,2,7838,5.0,1,Urban,1
0,01AUG62,37.0,0,0.0,61572.07326346075,No,73890.0,Yes,F,Bachelors,Student,48,Commercial,12850,7,SUV,no,0,0,No,3,3660,6.0,1,Urban,0
1,05JAN57,42.0,1,9.0,32797.0,No,160661.0,Yes,F,Masters,Lawyer,63,Private,21690,1,Minivan,no,0,0,No,2,0,14.0,0,Urban,0
0,20NOV51,47.0,0,11.0,44705.0,No,217885.0,Yes,F,Bachelors,Professional,50,Private,12840,1,SUV,no,1533,2,No,0,5125,10.0,1,Urban,1
0,11NOV56,43.0,1,0.0,0.0,No,70170.0,Yes,F,Bachelors,Home Maker,26,Private,8350,1,SUV,no,0,0,No,3,0,7.0,0,Urban,0
0,06JUN47,52.0,0,9.0,68992.0,No,216986.0,No,F,Bachelors,Blue Collar,36,Commercial,15120,1,Minivan,no,0,0,No,3,0,10.0,0,Rural,0
0,08OCT56,43.0,0,11.0,132561.0,No,314433.0,No,M,Masters,Professional,8,Commercial,30150,16,Panel Truck,no,12294,1,No,0,0,1.0,0,Urban,1
0,06JAN35,64.0,0,15.0,31738.0,No,197010.0,Yes,M,<High School,Blue Collar,23,Commercial,14620,6,SUV,no,3994,2,No,0,5085,1.0,1,Urban,1
0,21JAN33,66.0,1,17.0,96830.0,No,325826.0,Yes,M,Masters,Professional,23,Private,11180,7,SUV,no,0,0,No,0,0,16.0,0,Urban,0
0,24FEB39,60.0,0,9.0,125893.0,No,0.0,No,M,PhD,,21,Commercial,7500,9,Pickup,yes,7278,2,No,4,0,15.0,0,Urban,1
2,08DEC63,35.0,4,6.0,154577.0,Yes,397868.0,No,F,Bachelors,Blue Collar,27,Private,20450,6,SUV,no,4645,1,No,3,0,1.0,0,Urban,1
0,23APR47,52.0,0,7.0,64014.0,No,244863.0,Yes,M,<High School,Blue Collar,33,Commercial,7900,4,Pickup,yes,8882,3,No,1,2143,5.0,1,Urban,1
0,11SEP47,52.0,0,11.0,79348.0,No,270032.0,Yes,F,High School,Manager,23,Private,13150,11,SUV,no,0,0,No,2,0,1.0,0,Urban,0
0,26JUL43,56.0,2,14.0,192089.0,No,471701.0,Yes,M,PhD,,31,Commercial,21100,1,Van,yes,0,0,No,0,6484,8.298147573217427,1,Urban,0
1,08JUN61,38.0,1,7.0,61572.07326346075,No,0.0,Yes,F,High School,Student,40,Private,7050,4,Sports Car,no,0,0,No,0,0,10.0,0,Rural,0
0,08MAY44,55.0,0,15.0,108152.0,No,329756.0,Yes,F,Masters,Manager,18,Private,12320,1,SUV,no,0,0,Yes,0,0,15.0,0,Urban,0
0,14DEC51,47.0,0,14.0,61572.07326346075,No,276241.0,Yes,M,Bachelors,Manager,48,Private,21320,1,Van,yes,0,0,No,0,0,13.0,0,Urban,0
0,30SEP62,37.0,0,12.0,123520.0,No,383731.0,Yes,M,Bachelors,Blue Collar,14,Commercial,17550,1,Van,no,0,0,No,0,0,8.298147573217427,0,Urban,0
0,06JUL52,47.0,0,13.0,45257.0,No,160051.0,Yes,M,Bachelors,Clerical,33,Commercial,29210,6,Panel Truck,yes,0,0,No,0,0,8.298147573217427,0,Urban,0
0,04MAR73,26.0,0,8.0,53244.0,No,0.0,No,M,Bachelors,Professional,28,Commercial,20920,3,Van,yes,6224,1,No,1,4028,8.0,1,Urban,1
1,05SEP38,61.0,2,17.0,41857.0,No,169015.0,Yes,F,Masters,Manager,35,Private,20870,1,Sports Car,no,0,0,No,0,0,21.0,0,Urban,0
0,22OCT58,41.0,1,8.0,126468.0,Yes,0.0,No,F,Masters,Manager,34,Commercial,32690,3,Pickup,no,0,0,No,2,2114,18.0,1,Urban,0
3,19JUN59,40.0,3,9.0,75516.0,No,247673.0,Yes,F,High School,Blue Collar,53,Commercial,13050,5,Sports Car,no,0,0,Yes,0,0,6.0,0,Rural,0
0,06MAR47,52.0,0,16.0,76954.0,No,249290.0,No,M,Bachelors,Professional,44,Private,19540,6,Minivan,yes,0,0,Yes,0,0,11.0,0,Urban,0
0,29JUL41,58.0,1,8.0,150352.0,No,421665.0,Yes,F,Masters,Manager,21,Private,24240,6,Pickup,no,0,0,No,0,0,17.0,0,Urban,0
0,20JAN47,52.0,0,8.0,88560.0,No,244028.0,Yes,M,Masters,Lawyer,14,Private,13630,1,Minivan,no,0,0,No,4,0,17.0,0,Urban,0
1,25APR61,38.0,1,12.0,37580.0,No,173495.0,Yes,F,<High School,Clerical,36,Private,5260,7,SUV,no,867,2,No,0,8671,1.0,1,Urban,1
0,08APR58,41.0,2,15.0,23344.0,No,147172.0,Yes,M,High School,Blue Collar,10,Private,7930,1,Pickup,no,0,0,No,1,6287,1.0,1,Urban,0
0,20JAN62,37.0,0,16.0,43290.0,No,158771.0,Yes,F,Bachelors,Blue Collar,29,Private,23640,1,SUV,no,0,0,No,0,0,10.0,0,Urban,0
0,22NOV50,48.0,0,10.0,48737.0,No,220264.0,Yes,M,Bachelors,Manager,24,Private,11220,9,Pickup,yes,0,0,No,1,0,1.0,0,Urban,0
0,16JAN52,47.0,0,12.0,64259.0,No,202031.0,Yes,M,High School,Clerical,26,Private,25100,18,Minivan,no,9526,4,No,3,0,9.0,0,Urban,1
0,19NOV57,41.0,0,12.0,110386.0,No,335488.0,Yes,M,Masters,,21,Commercial,16640,1,Van,yes,0,0,No,2,3524,14.0,1,Urban,0
0,17MAR50,49.0,0,12.0,53765.0,No,0.0,No,F,Bachelors,Professional,5,Private,12360,4,SUV,no,0,0,No,0,0,1.0,0,Urban,0
0,05JUL58,41.0,0,6.0,12541.0,No,0.0,No,M,<High School,Clerical,5,Private,7500,1,Minivan,yes,0,0,No,0,0,1.0,0,Rural,0
0,26SEP52,47.0,0,12.0,104271.0,No,265153.0,Yes,M,Masters,,40,Commercial,36120,4,Panel Truck,yes,0,0,No,0,0,11.0,0,Urban,0
0,03AUG69,30.0,2,10.474061923313512,26226.0,No,165178.0,Yes,F,High School,Clerical,68,Private,23610,4,SUV,no,0,0,No,1,0,1.0,0,Rural,0
0,05APR55,44.0,1,10.474061923313512,67278.0,No,220556.0,Yes,F,Masters,Lawyer,49,Private,20210,1,Minivan,no,0,0,No,0,0,16.0,0,Rural,0
0,16JUN53,46.0,0,10.0,104990.0,No,306540.0,No,F,Bachelors,Professional,40,Private,16080,13,SUV,no,0,0,No,0,0,7.0,0,Urban,0
0,02JAN50,49.0,0,6.0,89948.0,No,0.0,No,F,Bachelors,Professional,37,Private,18160,7,SUV,no,0,0,No,4,0,9.0,0,Urban,0
0,11APR66,33.0,1,12.0,111427.0,No,321483.0,Yes,F,Masters,,35,Commercial,28180,1,Van,no,0,0,No,3,0,4.0,0,Urban,0
1,21JUN65,34.0,3,12.0,29431.0,No,143149.0,Yes,F,<High School,Clerical,12,Private,22560,1,Minivan,no,0,0,No,1,0,8.298147573217427,0,Urban,0
0,08AUG55,44.0,0,14.0,44790.0,No,205463.0,Yes,F,Masters,,5,Commercial,19800,4,Pickup,no,37163,1,No,4,0,9.0,0,Urban,1
1,20JAN56,43.0,2,11.0,76159.0,Yes,0.0,No,F,Bachelors,Professional,52,Private,19750,4,SUV,no,0,0,Yes,0,1807,8.298147573217427,1,Urban,0
